time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-22 00:00:00+00:00,0,0,7,6
2024-10-23 00:00:00+00:00,0,0,10,7
2024-10-24 00:00:00+00:00,0,0,1,1
2024-10-25 00:00:00+00:00,0,0,2,1
2024-10-26 00:00:00+00:00,1,1,1,1
2024-10-28 00:00:00+00:00,0,0,7,5
2024-10-29 00:00:00+00:00,0,0,1,1
2024-10-30 00:00:00+00:00,0,0,3,3
2024-10-31 00:00:00+00:00,0,0,3,3
2024-11-01 00:00:00+00:00,2,1,2,2
2024-11-02 00:00:00+00:00,0,0,3,3
2024-11-03 00:00:00+00:00,0,0,2,2
2024-11-04 00:00:00+00:00,1,1,1,1
2024-11-05 00:00:00+00:00,0,0,2,2
2024-11-06 00:00:00+00:00,0,0,5,5
2024-11-07 00:00:00+00:00,0,0,2,2
2024-11-08 00:00:00+00:00,0,0,3,3
2024-11-09 00:00:00+00:00,0,0,2,1
2024-11-10 00:00:00+00:00,1,1,2,2
2024-11-11 00:00:00+00:00,0,0,7,3
2024-11-12 00:00:00+00:00,0,0,2,2
2024-11-13 00:00:00+00:00,0,0,34,4
2024-11-14 00:00:00+00:00,0,0,3,2
2024-11-15 00:00:00+00:00,0,0,2,1
2024-11-16 00:00:00+00:00,0,0,3,3
